hash,Data_de_cadastro,Canal_de_atendimento,Denúncia_emergencial,Denunciante,Cenário_da_violação,País,UF,Município,Frequência,Início_das_violações,sl_quantidade_vitimas,(Nenhum nome de coluna),Motivação,Relação_vítima_suspeito,sl_vitima_cadastro,Gênero_da_vítima,Orientação_sexual_da_vítima,Faixa_etária_da_vítima,Nacionalidade_da_vítima,sl_vitima_naturalidade,sl_vitima_naturalizado_uf,sl_vitima_naturalizado_municipio,Deficiência_da_vítima,Doença_rara_da_vítima,Deficiência_relacionada_a_doença_rara,Vítima_preso_a,País_da_vítima,UF_da_vítima,Município_da_vítima,Profissão_da_vítima,Grau_de_instrução_da_vítima,Religião_da_vítima,Raça_Cor_da_vítima,Etnia_da_vítima,Faixa_de_renda_da_vítima,Natureza_Jurídica_do_Suspeito,Gênero_do_suspeito,Orientação_sexual_do_suspeito,Faixa_etária_do_suspeito,Suspeito_nacionalidade,sl_suspeito_naturalidade,sl_suspeito_naturalizado_uf,sl_suspeito_naturalizado_municipio,Deficiência_do_suspeito,Doença_rara_do_suspeito,Deficiência_relacionada_a_doença_rara_suspeito,Suspeito_preso,País_do_suspeito,UF_do_suspeito,sl_suspeito_municipio,Profissão_do_suspeito,Grau_de_instrução_do_suspeito,Religião_do_suspeito,Raça_Cor_do_suspeito,Suspeito_Etnia,Faixa_de_renda_do_suspeito,Vínculo_Órgão_PJ_do_suspeito,sl_suspeito_ramo,suspeito_especificacao_etnia,vitima_especificacao_etnia,violacao,,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA IDOSA,AGRAVANTE.FOI PRATICADO POR DUAS OU MAIS PESSOAS,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>INSUBSISTÊNCIA MATERIAL,,,,,,,,,,,,,,,,,
00030B43D4FDD920EC05D632509DE6720520212AA709EA3D19F9731724B837DD,2023-01-20 10:15:32.400,CARTA,NÃO,TERCEIRO,UNIDADE PRISIONAL,BR | BRASIL,SP,355030 | SÃO PAULO,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA EM RESTRIÇÃO DE LIBERDADE,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,OUTROS,PESSOA FÍSICA,FEMININO,OUTRO,45 A 49 ANOS,BR | BRASIL,NULL,NULL,NULL,NÃO INFORMADO,NÃO,NULL,PENA (RECLUSÃO),BR | BRASIL,SP,355030 | SÃO PAULO,NULL,NULL,NULL,NÃO INFORMADO,NULL,NULL,ÓRGÃO PÚBLICO,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,SP,355030 | SÃO PAULO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SEGURANÇA PÚBLICA, FORÇAS ARMADAS, DEFESA CIVIL, BOMBEIROS E ASSEMELHADOS ? FEDERAL,NULL,NULL,DIREITOS SOCIAIS>ASSISTÊNCIA AOS DESAMPARADOS,,,,,,,,,,,,,,
00030CE74A77C63F3F568E9AF621A6B6EA1C17744EE0FF00B645A9018173BADB,2023-06-15 17:44:32.140,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,MG,315710 | SALTO DA DIVISA,DIARIAMENTE,HÁ MAIS DE CINCO ANOS,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,MÃE,PESSOA FÍSICA,FEMININO,NÃO,12 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,MG,315710 | SALTO DA DIVISA,NULL,NULL,NULL,PARDA,NULL,NULL,PESSOA FÍSICA,FEMININO,NÃO,40 A 44 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO INFORMADO,BR | BRASIL,MG,315710 | SALTO DA DIVISA,NÃO SABE INFORMAR,NULL,NULL,BRANCA,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>INSUBSISTÊNCIA MATERIAL,,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,AGRAVANTE.COM HUMILHAÇÃO,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,VISUAL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>ABANDONO,,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA IDOSA,AGRAVANTE.COM HUMILHAÇÃO,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,VISUAL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>ABANDONO,,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA IDOSA,AGRAVANTE.DA COABITAÇÃO/CONVIVÊNCIA FAMILIAR/RELAÇÃO AFETIVA,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE,,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA IDOSA,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA,,,,,,,,,,,,,,,,,
000073C396BEE13735A45FB1650D63307BBA618388E83F9FAACFA8D33043E778,2023-04-13 13:08:03.233,TELEFÔNICO,NÃO,TERCEIRO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,BR | BRASIL,TO,172100 | PALMAS,DIARIAMENTE,HÁ MAIS DE UM ANO,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,MÃE,PESSOA FÍSICA,FEMININO,NULL,07 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NULL,BR | BRASIL,TO,172100 | PALMAS,NULL,NULL,NULL,NÃO INFORMADO,NULL,NULL,PESSOA FÍSICA,FEMININO,NÃO,20 A 24 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,TO,172100 | PALMAS,NÃO SABE INFORMAR,NULL,NULL,NÃO INFORMADO,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>NEGLIGÊNCIA,,,,,,,,,,,,,,,,,
0001647D1FBFE2EB812DD56794DD14C116769D88E83035D4894B2961CCBD4877,2023-05-25 18:56:38.400,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,BR | BRASIL,RS,430460 | CANOAS,OCASIONALMENTE,HÁ MAIS DE DEZ ANOS,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,MOTIVAÇÃO.EM RAZÃO DA IDADE,PAI,PESSOA FÍSICA,MASCULINO,NÃO,15 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,RS,430460 | CANOAS,ESTUDANTE,ENSINO MÉDIO INCOMPLETO,NULL,PARDA,NULL,NULL,PESSOA FÍSICA,MASCULINO,NÃO,50 A 54 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,RS,430460 | CANOAS,ENGENHEIRO,NULL,NULL,BRANCA,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>MAUS TRATOS,,,,,,,,,,,,,,,,,
000073C396BEE13735A45FB1650D63307BBA618388E83F9FAACFA8D33043E778,2023-04-13 13:08:03.233,TELEFÔNICO,NÃO,TERCEIRO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,BR | BRASIL,TO,172100 | PALMAS,DIARIAMENTE,HÁ MAIS DE UM ANO,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,AGRAVANTE.COM HUMILHAÇÃO,MÃE,PESSOA FÍSICA,FEMININO,NULL,07 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NULL,BR | BRASIL,TO,172100 | PALMAS,NULL,NULL,NULL,NÃO INFORMADO,NULL,NULL,PESSOA FÍSICA,FEMININO,NÃO,20 A 24 ANOS,BR | BRASIL,NULL,NULL,NULL,NÃO,NÃO,NULL,NÃO,BR | BRASIL,TO,172100 | PALMAS,NÃO SABE INFORMAR,NULL,NULL,NÃO INFORMADO,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>AGRESSÃO ou VIAS DE FATO,,,,,,,,,,,,,,,,,
0002BD14F25D9352E54F101837D5795D9D34324F83B790CCF6F225EB35720AE7,2023-05-23 19:04:14.943,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,GO,520025 | ÁGUAS LINDAS DE GOIÁS,DIARIAMENTE,HÁ MAIS DE UM ANO,2,VIOLÊNCIA CONTRA PESSOA IDOSA,NULL,FUNCIONÁRIO, VOLUNTÁRIO OU PRESTADOR DE SERVIÇO PARA INSTITUIÇÃO,PESSOA FÍSICA,MASCULINO,NÃO,75 A 79 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,GO,520025 | ÁGUAS LINDAS DE GOIÁS,NULL,NULL,NULL,PARDA,NULL,NULL,ÓRGÃO PÚBLICO,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,GO,520025 | ÁGUAS LINDAS DE GOIÁS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AGÊNCIA REGULADORA ? MUNICIPAL,NULL,NULL,INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA,,,,,,,,,,,,,,,,
00034083BB31C4D1931924C4A5922B0B15363659B5AB9B3E2ADFA9492A3AAF7F,2023-01-13 23:33:10.297,TELEFÔNICO,NÃO,TERCEIRO,CASA DO SUSPEITO,BR | BRASIL,PR,410940 | GUARAPUAVA,ÚNICA OCORRÊNCIA,NÃO SE APLICA,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,MOTIVAÇÃO.EM RAZÃO DA IDADE,PADRASTO/MADRASTA,PESSOA FÍSICA,MASCULINO,NULL,09 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NULL,BR | BRASIL,PR,411330 | LARANJEIRAS DO SUL,NULL,ENSINO FUNDAMENTAL INCOMPLETO,NULL,PARDA,NULL,NULL,PESSOA FÍSICA,MASCULINO,NÃO,45 A 49 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,TEMPORÁRIA,BR | BRASIL,PR,410940 | GUARAPUAVA,CABELEIREIRO, MANICURE OU OUTRAS ATIVIDADES DO SETOR DE ESTÉTICA,NULL,NULL,BRANCA,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,AGRAVANTE.NA RELAÇÃO FAMILIAR,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>NEGLIGÊNCIA,,,,,,,,,,,,,,,,,
000073C396BEE13735A45FB1650D63307BBA618388E83F9FAACFA8D33043E778,2023-04-13 13:08:03.233,TELEFÔNICO,NÃO,TERCEIRO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,BR | BRASIL,TO,172100 | PALMAS,DIARIAMENTE,HÁ MAIS DE UM ANO,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,NULL,MÃE,PESSOA FÍSICA,FEMININO,NULL,07 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NULL,BR | BRASIL,TO,172100 | PALMAS,NULL,NULL,NULL,NÃO INFORMADO,NULL,NULL,PESSOA FÍSICA,FEMININO,NÃO,20 A 24 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,TO,172100 | PALMAS,NÃO SABE INFORMAR,NULL,NULL,NÃO INFORMADO,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA,,,,,,,,,,,,,,,,,
000073C396BEE13735A45FB1650D63307BBA618388E83F9FAACFA8D33043E778,2023-04-13 13:08:03.233,TELEFÔNICO,NÃO,TERCEIRO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,BR | BRASIL,TO,172100 | PALMAS,DIARIAMENTE,HÁ MAIS DE UM ANO,1,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,AGRAVANTE.DA COABITAÇÃO/CONVIVÊNCIA FAMILIAR/RELAÇÃO AFETIVA,MÃE,PESSOA FÍSICA,FEMININO,NULL,07 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NULL,BR | BRASIL,TO,172100 | PALMAS,NULL,NULL,NULL,NÃO INFORMADO,NULL,NULL,PESSOA FÍSICA,FEMININO,NÃO,20 A 24 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,TO,172100 | PALMAS,NÃO SABE INFORMAR,NULL,NULL,NÃO INFORMADO,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>FÍSICA>MAUS TRATOS,,,,,,,,,,,,,,,,,
000048D67917C5DFE77B3F7BCA02CFA938D4972559F6C1D3C6A186251DAAE2D1,2023-05-16 11:17:57.083,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,BR | BRASIL,PE,261160 | RECIFE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,1,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,FILHO(A),PESSOA FÍSICA,MASCULINO,NÃO,70 A 74 ANOS,BR | BRASIL,NULL,NULL,NULL,NULL,NÃO,NULL,NÃO,BR | BRASIL,PE,261160 | RECIFE,OUTROS NÃO LISTADOS,ANALFABETO/SEM INSTRUÇÃO,NULL,NULL,NULL,NULL,COMUNIDADE/FAMÍLIA,NULL,NULL,NULL,BR | BRASIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR | BRASIL,PE,261160 | RECIFE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA,,,,,,,,,,,,,,,,,
